date,subs
2014-10-22,69433
2014-10-23,69491
2014-10-24,69544
2014-10-25,69668
2014-10-26,69742
2014-10-27,69805
2014-10-28,69935
2014-10-29,70027
2014-10-30,70098
2014-10-31,70161
2014-11-01,70198
2014-11-02,70314
2014-11-03,70472
2014-11-04,70566
2014-11-05,70636
2014-11-06,70700
2014-11-07,70767
2014-11-08,70803
2014-11-09,70903
2014-11-10,71033
2014-11-11,71128
2014-11-12,71200
2014-11-13,71255
2014-11-14,71303
2014-11-15,71349
2014-11-16,71390
2014-11-17,71451
2014-11-18,71524
2014-11-19,71572
2014-11-20,71634
2014-11-21,71679
2014-11-22,71686
2014-11-23,72000
2014-11-24,72167
2014-11-25,72274
2014-11-26,72362
2014-11-27,72432
2014-11-28,72484
2014-11-29,72540
2014-11-30,72604
2014-12-01,72651
2014-12-02,72715
2014-12-03,72756
2014-12-04,72804
2014-12-05,72849
2014-12-06,72892
2014-12-07,72940
2014-12-08,72981
2014-12-09,73023
2014-12-10,73067
2014-12-11,73133
2014-12-12,73185
2014-12-13,73236
2014-12-14,73305
2014-12-15,73354
2014-12-16,73399
2014-12-17,73440
2014-12-18,73492
2014-12-19,73525
2014-12-20,73563
2014-12-21,73599
2014-12-22,73623
2014-12-23,73664
2014-12-24,73689
2014-12-25,73695
2014-12-26,73713
2014-12-27,73737
2014-12-28,73768
2014-12-29,73805
2014-12-30,73843
2014-12-31,73874
2015-01-01,73908
2015-01-02,73942
2015-01-03,74010
2015-01-04,74050
2015-01-05,74096
2015-01-06,74149
2015-01-07,74191
2015-01-08,74226
2015-01-09,74270
2015-01-10,74304
2015-01-11,74327
2015-01-12,74351
2015-01-13,74380
2015-01-14,74413
2015-01-15,74450
2015-01-16,74493
2015-01-17,74535
2015-01-18,74586
2015-01-19,74623
2015-01-20,74676
2015-01-21,74730
2015-01-22,74768
2015-01-23,74817
2015-01-24,74894
2015-01-25,74951
2015-01-26,74991
2015-01-27,75019
2015-01-28,75055
2015-01-29,75122
2015-01-30,75244
2015-01-31,75406
2015-02-01,75564
2015-02-02,75635
2015-02-03,75724
2015-02-04,75793
2015-02-05,75844
2015-02-06,75891
2015-02-07,75938
2015-02-08,75999
2015-02-09,76045
2015-02-10,76093
2015-02-11,76142
2015-02-12,76173
2015-02-13,76212
2015-02-14,76257
2015-02-15,76326
2015-02-16,76375
2015-02-17,76440
2015-02-18,76492
2015-02-19,76550
2015-02-20,76597
2015-02-21,76670
2015-02-22,76803
2015-02-23,76872
2015-02-24,76940
2015-02-25,76986
2015-02-26,77047
2015-02-27,77090
2015-02-28,77148
2015-03-01,77225
2015-03-02,77299
2015-03-03,77367
2015-03-04,77442
2015-03-05,77553
2015-03-06,77647
2015-03-07,77798
2015-03-08,77854
2015-03-09,77910
2015-03-10,78012
2015-03-11,78117
2015-03-12,78294
2015-03-13,78487
2015-03-14,78693
2015-03-15,78984
2015-03-16,79408
2015-03-17,79524
2015-03-18,79622
2015-03-19,79747
2015-03-20,79818
2015-03-21,79889
2015-03-22,79986
2015-03-23,80085
2015-03-24,80140
2015-03-25,80199
2015-03-26,80245
2015-03-27,80290
2015-03-28,80388
2015-03-29,80605
2015-03-30,80872
2015-03-31,80967
2015-04-01,81058
2015-04-02,81125
2015-04-03,81191
2015-04-04,81251
2015-04-05,81285
